,user,tweet,location,keyword
48,Socks off,@FinancialTimes Emergence and spread of a SARS-CoV-2 variant through #Europe in the summer of 2020 #Covid #Covid19 #20AEU1 https://t.co/snGXCsnBA8,#Newbury,covid19
49,PIYUSH HARSHE پییوش,"Now as the #coronavirus cases are increasing in #Europe. I would request ""Youth"" leader @RahulGandhi to comment on it. 

India has done great in handling #COVID19 under the able leadership of #NarendraModi and all stakeholders.

@arifaajakia @RatanSharda55 
@smitaprakash","पोर्टब्लेयर, भारत",covid19
50,Richie Allen,"I've been saying it again and again, a total national lockdown is imminent. Tens of thousands are dying because life saving treatment is being denied them, as covid is being prioritised. Millions are losing their jobs. This is what tyranny looks like. 
https://t.co/xv8iLWudOQ","Salford, England",covid19
51,Switch TV Kenya,"Our guest Covid-19 change maker is Wahu, who educates teenage girls about sex; ""Parents should be open enough to have the conversation on sexual matters with their teenage sons and daughters, and give them the right information."" @MissTamima #FullCircleWithJoyce #ThursdayThoughts https://t.co/BtHiZeFlz8","Nairobi, Kenya",covid19
52,"Selangkah 🇲🇾 - ""Selamat Melangkah""","How #Covid19 is transforming the data &amp; digital health landscape. Join the webinar session tonight at 9pm. @mohdhelmi
@DASHglobalAI 

Registration Link: https://t.co/vD8R7wrAvF
FB event link: https://t.co/zJyBWPnTG9

Drop us a line to show support! &lt;3 #anakMalaysia https://t.co/QJDWMJYM44",Selangor,covid19
53,NCPCR,"#IndiaFightsCorona

Strictly follow these 3 rules to prevent the spread of #COVID19 Infection during this festive season.

✅ Frequently Wash your hands with soap and water.
✅ Wear your mask properly.
✅ Maintain Safe Distance from Others.

#Unite2FightCorona 
@MinistryWCD https://t.co/GMNnwsC5mN","New Delhi, India",covid19
54,Breaking Movies,"#CoronaVirusUpdates:
#COVID19 #India Tracker
(As on 29 October, 2020, 08:00 AM)
Confirmed cases: 80,40,203
Recovered: 73,15,989 (90.99%) 
Active cases: 6,03,687 (7.51%)
Deaths: 1,20,527 (1.50%)
#covid #coronavirus https://t.co/IPfAdEnc3h",FB.com/BreakMovies,covid19
55,GASTROINTESTINAL SURGEON,"Contact the best Gastrointestinal surgeons from your home now https://t.co/FSXJn1RWC7

#Gastroinitial #Doctor #Surgeon #Covid19 #GastroinitialSymtomes https://t.co/b5InzIOCFZ",,covid19
56,Ela Sas-Tatomir,"@RobertDeNiroUS Donald Trump brazenly mentioned one of the highlights of his presidency as ""ending the Covid-19 pandemic"" - Liar
https://t.co/L3M6Fa1ZG6","Warsaw, Poland 🇵🇱🇪🇺",covid19
57,𝐁𝐮𝐝 𝐂...,"Hospitals collect a financial stipend when reporting the cause of death as COVID-19.  It’s not to say the patient/deceased didn’t have coronavirus, but this information from the CDC makes you wonder.
https://t.co/xIKc0TGNa7 https://t.co/xVxpT5vPhx",NYC & California,covid19
58,yijunian 江毅俊,"how much should you explain?

mdm ho ching: yes

read about covid-19 2nd waves and what they mean for 🇸🇬 here: https://t.co/2x0y8WbNxK https://t.co/vSvGoiB5xj",Singapore,covid19
59,viveknd,"Important conversation on #decolonising #globalhealth with @seyeabimbola,Sabina Faiz Rashid,Augustine Asante,Faye McMillan &amp; Lyn Morgain hosted by @UNSWMedicine. Asante emphasises how #GHG measures for #COVID19 has perpetuated some forms of colonialism.   
https://t.co/NyMBFSSzAw","Surat, India",covid19
60,Marcia Ore MSc MA MinstLM MAC,"Covid-19: Nearly 100,000 catching virus every day https://t.co/h0MlZ2L7ck","Southampton, United Kingdom",covid19
61,Allan,"@BRZA19 Alcohol weakens body immune system thus putting you in risk when infected with covid19 
#angamizacoronamachakos",Africa,covid19
62,Sylvester Amenu,"British Study Shows Antibodies Against COVID-19 Declined Rapidly
#COVID https://t.co/8BbtlcsJiK",Africa ,covid19
63,Frontline,Pharmaceutical giant @GSK will attend this year’s China International Import Expo. So what's the latest from #GSK on developing a #COVID19 #vaccine? And What are the highlights of their new products and services this year? https://t.co/LjTM34TvhI,"Beijing, China",covid19
64,SinNombre,"Covid 19 is the new “War on Terrorism”

Meaning new restrictions and new “surveillance” laws will be the norm in the name of Public health.. 

And most will gladly deepthroat it https://t.co/vxWQVUTMAk",FOH,covid19
65,Stephen Murchie,"@GMB @NickDixonITV As we see COVID-19 cases rise. Have we not learned that this virus came in via people travelling yet today Heathrow has flights from Benelux,USA, France and Brazil all with higher levels of the virus. Our test trace doesn’t work why are we doing this?",,covid19
66,FNH BigDog,"@PatrickNova6 @realDonaldTrump Finally! A serious Explanation of Trump’s 
COVID19 Face Mask Aversion!  Why Wasn’t
This Known Sooner?!  It Makes Perfect Sense!
https://t.co/7g55uDZVmi",,covid19
67,Bethell,@CarnoustieC @itstartedin1882 @SeanRKelly Nope we locked down when r was above 1 and doing that brought it below 1. Also the estimate for number of people in the UK that had it peaked after lockdown https://t.co/RtBxBRp8Ba,London,covid19
68,Barbara Kelso,"COVID-19 transmission: Study indicates microdroplets do not spread SARS-CoV-2 as efficiently through air - Health News , Firstpost #SmartNews  https://t.co/qtjDdgW99k","Sherman Oaks, California",covid19
69,Hima Patel,"This year taught me that putting yourself first is not selfish, it's necessary. 

#selfish #ThursdayMotivation #ThursdayThoughts #BeYourself #selflove #COVID19fr #COVID19 #IndiaFightsCorona",Vadodara,covid19
70,Chris,"Goodmorning @MOH_Kenya , where can I get my covid-19 test in Mombasa?",Kakamega,covid19
71,Fi-marvine,"@YEDNetworkKe @MOH_Kenya @Amref_Kenya @EUinKenya @WHOKenya @NdiranguWanjuki @susan_mochache @DrMercyHealth @NationalERKe @martinmuchangi @jaqjerry @MOHA_made_ @AnalyticaKE @SDY_Ke COVID19 does not only affect old people, anyone can get it! Stay safe always. #angamizacoronamachakos  #AngamizaCorona  #EUCovid19ResponseKE",,covid19
72,The Press & Journal,Councillors reject idea of localised Covid-19 restrictions for Highlands https://t.co/YxZ4pmqM04 https://t.co/CZJoi41rQx,"Scotland, United Kingdom",covid19
73,Mark Buckley,"COVID Cash Crunch: Options for Reorganizing or Winding Down Your Company in Illinois: The financial distress caused by the COVID-19 pandemic has left many companies reeling. With no clear end in sight, the bad news is that some… https://t.co/RcgEf9tsEU RI Bankruptcy lawyer","Rhode Island, USA 401 467-6800",covid19
74,Leray,There is a second serious wave in the UK and I think Germany too... Everyone in these parts should also be on red alert and take COVID-19 precautionary measures,"Lagos, Emirates/AshburtonGrove",covid19
75,Metric Impact,"Global Public Transportation Software (COVID-19 Impact Analysis) Market Size, Share, Growth, Trends 2020-2026 - re:Jerusalem https://t.co/BGgrYQMhM6",San Francisco,covid19
76,FNH BigDog,"@PatrickNova6 @realDonaldTrump Finally! A serious Explanation of Trump’s 
COVID19 Face Mask Aversion!  Why Wasn’t
This Known Sooner?!  It Makes Perfect Sense!
https://t.co/7g55uDZVmi",,covid19
77,Galaxy M,"@realDonaldTrump No social distance and no masks, how can you control the covid 19. By blaming Dr Frauci? It is your fault and because of your stupidest.",,covid19
78,saurabh sharma,@Haryana_YC @RahulGandhi @priyankagandhi @kumari_selja @DeependerSHooda @Allavaru @srinivasiyc @pratibhaiyc1 @CHOTIWALA @vbwalia @SandeepsRissam At haryana not given a good treatment against covid 19 I am positive case but my report not given me and not to be shown online or civil hospital contact no not pick you r also check 01302231931and nic District informatics officer no tho busy all time 0130 2220509 please  help,,covid19
79,GbAfrique,"British Study Shows Antibodies Against COVID-19 Declined Rapidly
#coronavirus https://t.co/vEu6yDSHYA",Ghana,covid19
80,voice of resistance,"Don't blame, be the change
Vote for better bihar.
.
.
.
.
.
.
.
.
.
#bihar #biharelections
#biharsehai #teambaan
#election2020 #biharelections #biharelection2020 #propaganda  #corona #covid_19  #migrants
#migrantworkers #bjp #covid_19 #government #godimedia #parliament #pandemic https://t.co/te2JjQ36m4","New Delhi, India",covid19
81,moneycontrol,"#Unlock6: All you need to know 🔽

#COVID19 #SchoolsReopening  
https://t.co/7exmofw1bG",Mumbai,covid19
82,IvotedBlueDownBallot🧜‍♀️🦋🦄🌊🌊,"@baseball_cali @gera24 @thehill He took the mask off, knowing that he was Covid-19, but this photo opportunity was more important than his team.

It's selfish"," Anarchist Jurisdiction, NY",covid19
83,Nadeeshani Hewagama,"To prevent the spread of COVID-19:
✅wear a mask
✅stay at home safety
✅maintain a safe distance from anyone
✅Clean your hands often. Use soap and water, or an alcohol-based hand rub.
✅don’t touch your eyes, nose or mouth.
✅Cover your nose and mouth with your bent elbow. https://t.co/DGsxuAKqmj",,covid19
84,Zzzzzz,"@TsoloTshepo @nengovhelaff @tumisole I work in a covid19 ICU, I saw a lot of my colleagues  being sick to the extent of not coming back to the Intensive Care, some lost their lives from contracting Covid19 in the Unit. We sometimes use our own masks that we bought ourselves for protection and yet we are called....",,covid19
85,Focus Malaysia,"Dewan Rakyat members are urged to support the upcoming Budget 2021 to help the public and revive the economy to weather the COVID-19 pandemic.

https://t.co/pskGHKozi0",Malaysia,covid19
86,KYANDA SIMON PETER,"@MinofHealthUG What was the money given to the ministry to fight against COVID19 used for
U are just corrupt","Kampala, Uganda",covid19
87,Ahmed,@JoeBiden And I thought @GWBLibrary had a pair on him #COVID19 #coronavirus #Trump https://t.co/EpuNMgQ0zo,Baltimore,covid19
88,Jenkers News (ENG),Families turn to 'Animal Crossing' for trick-or-treating amid #Covid-19 fears https://t.co/nGKGP7anuI,San Francisco,covid19
89,PatriotTrading,"@brett092 @rivalsmike Oh wait, there's more: Influenza deaths 2018/19 (Age 18-49)  2,540 Covid-19 Deaths 2020 (Age 18-49) 8,322......You do you dude but you aren't going force a large contingent of educators whose #1 Priority are their students to change their decision with the ""everyone else is""",,covid19
90,HRC Orange County,@ChristinaKTLA And big consequences for #mlbchamps &amp; #justinturner #Lakers #WorldSeries2020 #COVID19 #coronavirus #COVIDRelief,Orange County CA,covid19
91,Muthukumar Srinivasan,@ServaiAnbu @GIRITHEAVAN1 Take care.  Be safe during this covid-19 time. request your family and friends to be safe too. Wish you all the best. Swami Saranam..,"Dublin, CA , USA",covid19
92,Abhishek Pandya,"Critics want to deny people the credit for their tremendous fight against Covid-19 in order to discredit the government. We should assess our fight against the metric of how many lives we are able to save: PM Shri @narendramodi Ji

Read full interview at https://t.co/cXbAHHopAf","Karnavati, India",covid19
93,Countries Without Coronavirus Bot,Grenada has no active cases of the novel coronavirus disease/COVID-19. #COVID19,,covid19
