,user,tweet,location,keyword
66,Bravo Whiskey II,"Vote in person if you can!

Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire https://t.co/i6OLThHn5d",,arsonist
67,Diogenes_760,"@DA_LarryKrasner 🤣DA Larry Krasner, Looter and Arsonist in Chief  #Bidenriots",,arsonist
68,Chris Rongey,"@BenFinfer Actually, this may be more accurate: Arsonist burns your house, fire department comes over to put it out, but the city shuts off the water because they said the fire will go out on its own. You're mad at the fire dept for using foam.","St Louis, MO",arsonist
69,Stars4Patriots,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/DuJv9XW7JW,https://wego.social/Alleanna,arsonist
70,Chris Rongey,"@BenFinfer This is absolutely it. It would be insane to not be infuriated, but too many people are angry at the wrong damn thing. It's like an arsonist paid your house a visit, but you're pissed at the fire department for the way they're trying to put it out.","St Louis, MO",arsonist
71,gorguts ⚰️,one of my fav songs by Hozier is Arsonist's Lullaby it's so powerful n sexy,Transylvania,arsonist
72,Dave Fletcher,"@Fwc20181 @Jim_Jordan Well there's another liberal MORON trying to blame the POTUS for the actions of rioters, arsonist and looters.

If only you could point to a single specific Constitutional violation, it could help your cause in lieu of being seen as merely an unpatriotic rabble rouser!",,arsonist
73,Arsonist,arsonist 🌊,,arsonist
74,ExHullKiwi,"@KateKatecornish I assume it is a student who hasn’t prepared so wants the exams delayed.
We had an arsonist try a similar cunning plan.","Newcastle, New South Wales",arsonist
75,ADDICTED TO FREEDOM,"@RipTorn18 @gatewaypundit ""The arsonist is the chief of policry"" Do you understand this or are you still blind? HELLO?!",THE UNIVERSE,arsonist
76,Pacificrk,"Do ALL Black Lives Matter to #BLM, even Arsonists that set Ballot Drop Boxes on fire? Boston Arsonist Sets Ballot Box On Fire #Arson #Elections #ElectionTampering https://t.co/Ml7Me3Y2Zp via @gatewaypundit",,arsonist
77,LazyWeather,And 5:30 to now at the back fence.  A perennial favorite for trespasser and vandals and even an arsonist! Sad but true. I still find charred chunks from the blaze two years ago. https://t.co/PFBeAtMmNY,"Fort Lauderdale, FL",arsonist
78,Kowo,@coolpersonafact @junpeip3bigcock cool arsonist!,,arsonist
79,Common Sense 🇺🇸🇦🇫🏳️‍🌈,"Ladies and gentlemen, the senate is broken and Mitch did it! Mitch is the arsonist who showed up and burned the place down to the ground!  Kentuckians, for the sake of our nation and your America, don’t give the arsonist another chance. Ditch Mitch!","Los Angeles, CA",arsonist
80,MIXTAPEFM/HOT965,"DJ Arsonist - 107.9 The Beat Mix Part 10 - https://t.co/mWNHJ4Xxvj TheHeavyWeight Dj Rasheed 
https://t.co/RXSuu5FYs8",Broadcasting World Wide,arsonist
81,don,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire https://t.co/Z6HdYdgyke via @gatewaypundit  It is a disgrace to democray so r the politicsl leaders &amp; media who stoked those flames &amp; r the same ones outraged.,"Minnesota, USA",arsonist
82,Landry L Miller,"This country is going thru the most lawless time I have ever witnessed. If they won’t prosecute corrupt politicians, looters, arsonist, anarchist, outright theft, why do we need , police and judges and all support staff. All you’ll need to know now is how to defend yourself .","Alabama, USA",arsonist
83,saintsenecabot,"Tell me this if our sun is 
Arborist or arsonist 
There are those who sow 
There are those who kindle",,arsonist
84,ailuridae,@concealedthread I also think that we should start with some slides of Things They Did Wrong Allegedly so maybe like -noted arsonist -terrorist - attempted to kill the mayor -wore a cravat could be there for lio,,arsonist
85,MIXTAPEFM/HOT965,"DJ Arsonist - 107.9 The Beat Mix Part 18 - https://t.co/mWNHJ4Xxvj TheHeavyWeight Dj Rasheed 
https://t.co/RXSuu5FYs8",Broadcasting World Wide,arsonist
86,metro bloomin onion,@KOBltuary run me the number i kno an arsonist,music • he/him 🥵,arsonist
87,Roger T. Peterson,"Biden Is Running a Protection Racket 
“He’s the arsonist.....”

https://t.co/zBCmvba2w4 https://t.co/AEgFhiDctM","Virginia, USA",arsonist
88,Olasunkanmi Adepegba,@DeeOneAyekooto Most of them are Arsonist. They will meet their waterloo soon,"Lagos, Nigeria ",arsonist
89,Jack-o-flower @ cuddling ashley,arsonist https://t.co/3xZl8b4W0U,"Zolstieria, Aazara",arsonist
90,truth seeker,"@NextLAMayor @NYCMayor The Mayor is like an arsonist who sets a building on fire and then has ""no idea how the building burnt down "" 
BTW 
Coumo is much worse 
Went on the National News media pointing fingers at the ""hassidic Jewish Community""",,arsonist
91,Captain Sarah {Commissions Open},"Decided to make a #HazbinHotel OC after watching Helluva Boss, Hazbin Hotel (pilot) and listening to Addict multiple times... So I present my demonic girl Sear!

Sear died due to a fire that she had started in a building, failing to escape it and is a convicted arsonist. https://t.co/2UmLbtQ2qq",United States,arsonist
92,.,@mitchellsocks Nemesis of mortals was fucking fire lol. I actually like the improved goblin arsonist warrior they printed esp with Kargan guy,"Bitche, France",arsonist
93,angie gained color,@TubboLive @tommyinnit UR RIGHT TUBBO,Lonesome Town,arsonist
94,MIXTAPEFM/HOT965,"DJ Arsonist - 107.9 The Beat Mix Part 21 - https://t.co/mWNHJ4Xxvj TheHeavyWeight Dj Rasheed 
https://t.co/RXSuu5FYs8",Broadcasting World Wide,arsonist
95,James,"@leadlagreport This is precisely why folks look to the FED as savior and messiah, as they don't have the time and wherewithal to find that FED is both arsonist and firefighter.",California,arsonist
96,Strategery,"@HuttonLeanna @theonlyrymac
@cjtruth @BenjaminABock @TrumpWarRoom
@TuckerCarlson
When a rioter and arsonist start fires, is Trump's at fault? PG&amp;E, they have anything to do with this? And when your Governor restricts fire management, how is this Trump's fault?","Hawaii, USA",arsonist
97,George#DTNotMyPrez,"@RonThayer3 @adavaco We’re on their herd immunity trajectory, which means that millions will die at the altar of another corrupt, reactionary, racist, xenophobic, pathological lying, genocidal and anti-government arsonist GOP’s experimentation on destructive governance. How many people must die?",,arsonist
98,LIN KUEI⚡,"At Governor Sanwo-olu I am sorry sir but these arsonist, hoodlums or whatever you choose to tag them do not fear you or have any respect for you or your government.. My advice is you stop playing Mr nice guy.. Lives have been lost deal ruthlessly with these cretins fomenting",,arsonist
99,Wiame kanane,"@ciaracoffeyy Im an accomplice, you're the arsonist",behind you,arsonist
100,Black Lives Matter!🖤Leaping with Lollipops🏳️‍🌈,"@slightlydrinky @nineinchnails Better the same old electrician, than the arsonist who actively crosses wires and sets fire to the house.",,arsonist
101,Arsonist_Xpert,@jacksfilms @anything4views @maxmoefoe @twomad @CallMeCarsonYT @Gusbuckets @eddyburback @2ToesUp @commentiquette @TheUniBaller @BrockBaker @Hawkeye_1701 @Cuyoya @ericathesuckup @juliereanna @LukeErin_ Sorry you had to sit there and play with Carson,Old Zealand,arsonist
102,Phil Davison 🇪🇺🕷️,@MarcusRashford It used to be the arsonist expecting thanks for calling the fire brigade. These days it's an accusation used by the greedy and/or inadequate when they're made to feel jealous by the genuinely kind.,,arsonist
103,Shelley 🍸🎬🐾,"If 2020 was a literary couple:

Bertha and Rochester (Jane Eyre)

Bertha: violently insane 
R: (instead of getting B. help) locks her in a attic &amp; pretends nothing is wrong
R: Polygamist 
Bertha: Arsonist
Karma: Mr R goes blind https://t.co/SaPLEvy7Yl","Pacific NW, USA",arsonist
104,The Chosen One Two,"@realDonaldTrump This is like a fireside chat, only it’s all of America that’s burning and you’re the arsonist. 
#VoteThemOut",Your desk drawer,arsonist
105,Real PROUD American,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/n145GrameF,"Arizona, USA",arsonist
106,lesbian furry,@WebbyVander agreed my feathered arsonist,she/her minor,arsonist
107,LadyGrey,"@TheObamanista @lacadri34 What if you see ""I'm ok being called a corporate dem because it means I'm not an arsonist?"" Cuz that's how I feel.",,arsonist
108,TheBigOldDog,"They were trying to claim this was done by a Trump supporter until the surveillance video surfaced - Doh!

Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire  https://t.co/JzBXX1Yo0p",Boston,arsonist
109,"Glössawy, clonusposting gbxf🦈🍄🌙🟢","@catboysyrup ur ideology is arsonist catboy obv, and ur much needed",she/they/it,arsonist
110,olivia is golden | au larry no 📌|,@HarryAcess Arsonist's lullabye?  #ARIAsHarryStyles,who me? no you ,arsonist
111,Deb,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire https://t.co/aijnAekjS1,NY/TN,arsonist
112,Not Fartzler,"Okay, got to spend some time in the new place today. Whew boy. There's A LOT of work to do. Does anyone know a good arsonist?","Los Angeles, CA",arsonist
113,its me,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire https://t.co/ZQZsIBaAWH via @gatewaypundit,,arsonist
114,Anita,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/4MhXLnfLC0,"Tennessee, USA",arsonist
115,♔ Orbit O3 ✨,@yeojidalso @loonatheworld Around you Arsonist,,arsonist
116,Sk0ach,@leannef55 That that Leicester arsonist?,,arsonist
117,Demoncrat,@jaketapper @MilesTaylorUSA The firefighter who is also an arsonist 🙄,,arsonist
118,NoHomers,"It feels like we literally have a contest between a pretty smart, if a bit old, dude, and the village idiot, who's also the village arsonist, and we're excited that the village idiot is polling a little behind the sane guy.

America 2020.",,arsonist
119,AmericaFirst,"With all of the evidence out there..

If you support BLM I'm just going to assume that you are a thief (looter) and an arsonist!",,arsonist
120,Elle Baldwin,"VOTE IN PERSON !

Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/x0yLHZlfOm",FL,arsonist
121,Dee Clutter,"Difference is, the arsonist does it deliberately.
@DanielAndrewsMP &amp; team faced rapid decisions amidst great uncertainty in an unprecedented global pandemic. Mistakes were made.  He's not Robinson Crusoe there - heard of the Ruby Princess? #IStandWithDan https://t.co/PIyPLZHarL",Melbourne,arsonist
122,Kate Deibel,"@joeyalison ""Unfortunately, Miss Sayers, but our rocket runs on pencil erasers and our fuel supply got destroyed by an arsonist.""","Syracuse, NY",arsonist
123,RiverdaleBoy,"@peterbakernyt @hillhulse An arsonist is ""consequential.""",Toronto,arsonist
124,Rat-Hunter,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/9CqLKNgSaB,spaceship called earth,arsonist
125,ghouli 26,"@wordnerdweekes you give me godkiller/arsonist vibes, and i feel like that'll be an epic opener to our action packed modern fantasy novel",SHE/HER | 19 YRS | MULTIFANDOM,arsonist
126,chanyeol’s sidepiece 1 (real),@kqehwa sigh and when i fly to korea and become an arsonist,skz • nct • exo,arsonist
127,paula galvin,"I have just read ""The Arsonist "" and ""The Senator's Wife"" for the second time. She is wonderful. https://t.co/sDxPFwz5Tu","Dublin City, Ireland",arsonist
128,Joys of Barnsley 🇬🇧🇺🇸,@piersmorgan @BorisJohnson Lockdown is the arsonist as the city burns down..,"Barnsley, England",arsonist
129,Netz Melbourne,"@ProfitDoctor_ @RodS108443078 @davidmatheson27 @andrew_cleary12 @kelliekelly23 @Gary_Hardgrave @Origsmartassam @9NewsMelb When it comes to managing Covid-19, Daniel Andrews is like the arsonist who helped put out the fire he started.

And now all the #IStandWithDan numpties want us to thank him?

They must be out of their minds.

#springst #Covid19vic #auspol #resignDanAndrews","Melbourne, Australia",arsonist
130,Lisa-Lady,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/oIO3n4rn0L,Learn Some Codes ,arsonist
131,Grape Slushie | Demon Vtuber,"@zixiaTV Howdy I'm Slushie, the local arsonist demon! I use they/them! Nice to meet you! https://t.co/NEWKCXWiv6",,arsonist
