,user,tweet,location,keyword
50,Brylle Kenneth Dela Cruz 🍀🍀,"@patsmith07 and don't ever compare other country by other one , i really do have job as a construction worker but because of this pandemic our company have no more projects and they need to fire some people and im one of them , it's easy to talk cuz your not in my shoes",,fire
51,Channel Jammer,@MARFOOGLE FAMILY SHOWS CANCLED but loaded - LIAR LIAR CENSORSHIP ON FIRE https://t.co/qXzq4eUsW4 via @marfoogle,TOPSIDE OF INDIANA,fire
52,j a d a 🦋,@redvelvtcake @OneLuckyGirl_28 Fire signs in the quotes lying bc no one likes them😂,"San Francisco, CA",fire
53,David & Dana,"Could YOU do it?? Fire Your Boss and Live the Dream? This Ex-Waiter Did, and YES, You Could Too! ~ Watch him do it -- right here--&gt; https://t.co/rvy0WX5ahC #BeYourOwnBoss #WorkFromHome https://t.co/lhsPGSHzTU","Chapala, Jalisco Mexico",fire
54,⁷𝒎𝒊𝒍𝒂⧖ kinda ia bcs📚 |CHECK 📌,"@MINGlWAY ofc i know you, you posted the atsd that looks fire😌",she•her•18,fire
55,Bright Win Metawin ☀️💚🐰,"Garena Free Fire TH posts on IG Today @winmetawin @WinmetawinO #winmetawin 

https://t.co/H1sldi7snR

https://t.co/Y3Z39MyBd1

https://t.co/8yPrURLNsi https://t.co/DuCJszr2vD",,fire
56,KATHY SHIELDS,Check out what I just added to my closet on Poshmark: Popsicle Silver Blue Sim Fire Opal Earrings Womens. https://t.co/ESt2pTyJs5 via @poshmarkapp #shopmycloset,Indianapolis,fire
57,TOI Cities,"MP: Fire hydrants not yet installed, New Market left vulnerable https://t.co/cbRCgeJL2b",,fire
58,h💫,"@EXO_s_Noona An alleged ex wrote that pc.y  cheated on her around 10 girls, she included pictures which were obviously photoshopped (lots of evidence) but sm saying that they have no stance only added fuel to the fire",,fire
59,DOMINO BENJAMIN,"@brejhan_ See now them look fire Though u don’t eat eggs ,, but them homemade fries looking righttttttt","Ohio, USA",fire
60,Benj,@chilternbear The Grenfell freezer fire?!,,fire
61,DePhilnestration | VOTE to Deturd the Whitehouse,"@roxana_hadadi I’m doing that but with She-Ra, Steven Universe, and Halt and Catch Fire. It’s helping.","Sacramento, California",fire
62,"Jaresha Moore, MBA",Alicia Keys - Girl on Fire,"Ohio, USA",fire
63,Brotha Man✊🏾🍂,"@kaydi0rrr SIR “Fire” “you can’t save me” “that’s why I love you” 
Dvsn “P.O.V.” 
Natalie Lauren “Back to love” 
Tweet “Neva Felt this way before”","Williamstown, NJ",fire
64,"STEMtheBleeding - Not a ""loser"" or a ""sucker","@RiffChick They'll close the store, fire all of the workers, relocate to a safer part of town, and reopen; leaving the community with fewer jobs, fewer options for buying necessities, and lower property values.",,fire
65,adidas new,"Launching tomorrow. Who's already prepared to pay resell? 
Color: Sail/Fire Red/Muslin/Black
Mens: $225
Style Code: DH8565-100
https://t.co/fQFUx3MeFn https://t.co/qLgGUDP6X7",,fire
66,dreamofthekai,@JoshuaGriffith0 @RobFai @AndyColeTSN Sir the death star is ready to fire https://t.co/zpLP29fHqz,Canada ,fire
67,ArgentElly,"@Mah00ty It just felt like they lowered the skill ceiling a lot, especially since the jetpack just lets you go anywhere, flare jumps no longer necessary. They nerfed the axtinguisher so now only the Powerjack is really viable. Can't Fire Punch or Puff &amp; Sting cleanly without Degreaser.","Michigan, USA",fire
68,Ravens 5-1 Bama 5-0,@Aloha_Hoesss Hold the Door was pure comedy lmao...but BoTB was fire but that entire intro of high septor was pointless...him &amp; his fake ass church had no point of being there &amp; was in &amp; out...im not sayin 7 was great...but i rather that then king’s landing &amp; Septor,,fire
69,Delilah,And it's working because the false rumours about Ch*anyeol &amp; R*sé trended &amp; make more noise than the issue about their former SK president being thrown back to prison. Especially when SM chose to make statements like that. It adds more fire to the rumour.,Taylor Swift | she/her 22,fire
70,D🦋,I need fire to be lit up my ass becauseee,Ghana,fire
71,Galdino Saquarema,"@True__Thapz @fire_lovly @True_Thapz ..  Good  morning ..
.♥   .♥  .♥  . ♥
   .♥.. #IFB .  ♥
     ..♥.. ♥..♥️.
          .♥  .♥..
            .. ♥..
... Follow  Back ...",Brasil 🌎 🇧🇷,fire
72,Erin || HINAKINNIE🥳,fire bitch looks like they going through floral pms /j https://t.co/yn8lSCB8nu,she/they/cer/ae 15,fire
73,D🕊,@iluvdaftpunk fire,,fire
74,Azrael Evans,"@LondonFalling0 Can't do sibling bonding if you're stuck in the vast :(
(Note to self make a crying fire emoji for later)",,fire
75,divine beastmode,"I mean yes the world is a capitalist prison and 2020 is a tire fire of nightmares, but on the plus side I haven’t seen anyone say “women and femmes” in ages",North Vancouver,fire
76,LawlessLand (fan account)💅,"@Votingnation13 And if I'm on fire you'd be made of ashes too

#ARIAsTaylorSwift @taylorswift13",,fire
